event_time|case_id|event_type|host|user|source_ip|destination_ip|process_name|parent_process_name|command_line|url|domain|action|result|auth_method|rule_context
2026-06-24T09:00:01|BENIGN_LOGIN|authentication|idp|alice@company.test|10.0.0.10|-|-|-|-|-|company.test|login|success|password|known_location,managed_device
2026-06-24T09:05:00|CLOUD_IDENTITY_ABUSE|authentication|idp|victim@company.test|203.0.113.210|-|-|-|-|-|company.test|login|failure|password|new_location,unmanaged_device
2026-06-24T09:06:00|CLOUD_IDENTITY_ABUSE|authentication|idp|victim@company.test|203.0.113.210|-|-|-|-|-|company.test|challenge|denied|mfa_push|user_denied
2026-06-24T09:07:00|CLOUD_IDENTITY_ABUSE|authentication|idp|victim@company.test|203.0.113.210|-|-|-|-|-|company.test|challenge|success|mfa_push|same_session
2026-06-24T09:08:00|CLOUD_IDENTITY_ABUSE|authentication|idp|victim@company.test|203.0.113.210|-|-|-|-|-|company.test|login|success|password|new_location,new_device
2026-06-24T09:12:00|CLOUD_IDENTITY_ABUSE|mailbox_rule|mail|victim@company.test|203.0.113.210|-|-|-|-|-|company.test|external_forward|success|-|external_destination
2026-06-24T09:30:00|BENIGN_ADMIN|authentication|idp|admin@company.test|10.0.0.20|-|-|-|-|-|company.test|login|success|password|known_location,managed_device
2026-06-24T09:35:00|BENIGN_ADMIN|mailbox_rule|mail|admin@company.test|10.0.0.20|-|-|-|-|-|company.test|internal_forward|success|-|approved_ticket_automation
2026-06-24T11:00:00|SUSPICIOUS_FORWARD_ONLY|authentication|idp|user2@company.test|203.0.113.220|-|-|-|-|-|company.test|login|success|password|new_location
2026-06-24T11:03:00|SUSPICIOUS_FORWARD_ONLY|mailbox_rule|mail|user2@company.test|203.0.113.220|-|-|-|-|-|company.test|external_forward|success|-|external_destination
2026-06-24T12:00:00|BENIGN_APPROVED_EXTERNAL_FORWARD|authentication|idp|service@company.test|10.0.0.40|-|-|-|-|-|company.test|login|success|certificate|known_automation_host
2026-06-24T12:02:00|BENIGN_APPROVED_EXTERNAL_FORWARD|mailbox_rule|mail|service@company.test|10.0.0.40|-|-|-|-|-|company.test|external_forward|success|-|approved_business_workflow
2026-06-24T13:00:00|TRUSTED_USER_SUSPICIOUS_CHAIN|authentication|idp|service@company.test|10.0.0.40|-|-|-|-|-|company.test|login|success|password|new_location,new_device
2026-06-24T13:03:00|TRUSTED_USER_SUSPICIOUS_CHAIN|mailbox_rule|mail|service@company.test|10.0.0.40|-|-|-|-|-|company.test|external_forward|success|-|approved_business_workflow
2026-06-24T14:00:00|MFA_NEAR_MISS|authentication|idp|user3@company.test|198.51.100.70|-|-|-|-|-|company.test|challenge|denied|mfa_push|single_denial
2026-06-24T14:10:00|KEYWORD_ONLY_CONTEXT|application_log|idp|reader@company.test|192.0.2.90|-|-|-|documentation: MFA_DENIED external_forward|-|company.test|view|success|-|training_material
