event_time|case_id|event_type|host|user|source_ip|destination_ip|process_name|parent_process_name|command_line|url|domain|action|result|auth_method|rule_context
2026-06-24T15:00:01|BENIGN_UPDATES|network_connection|win-01|alice|10.10.1.10|192.0.2.20|msedge.exe|explorer.exe|-|https://updates.example.test/package.bin|updates.example.test|download|success|-|signed_vendor_update
2026-06-24T15:00:20|BENIGN_UPDATES|network_connection|win-01|alice|10.10.1.10|192.0.2.20|update-agent.exe|services.exe|-|https://updates.example.test/status|updates.example.test|outbound_connect|success|-|signed_vendor_update
2026-06-24T15:00:40|BENIGN_UPDATES|network_connection|win-01|alice|10.10.1.10|192.0.2.20|update-agent.exe|services.exe|-|https://updates.example.test/status|updates.example.test|outbound_connect|success|-|signed_vendor_update
2026-06-24T15:01:00|BENIGN_UPDATES|network_connection|win-01|alice|10.10.1.10|192.0.2.20|update-agent.exe|services.exe|-|https://updates.example.test/status|updates.example.test|outbound_connect|success|-|signed_vendor_update
2026-06-24T15:10:05|NETWORK_ATTACK|network_connection|win-22|user1|10.10.2.22|203.0.113.88|powershell.exe|cmd.exe|-|https://cdn.example.test/content/agent.dat|cdn.example.test|download|success|-|untrusted_remote_content
2026-06-24T15:10:30|NETWORK_ATTACK|network_connection|win-22|user1|10.10.2.22|203.0.113.88|powershell.exe|cmd.exe|-|https://cdn.example.test/api/status|cdn.example.test|outbound_connect|success|-|low_volume_periodic
2026-06-24T15:11:00|NETWORK_ATTACK|network_connection|win-22|user1|10.10.2.22|203.0.113.88|powershell.exe|cmd.exe|-|https://cdn.example.test/api/status|cdn.example.test|outbound_connect|success|-|low_volume_periodic
2026-06-24T15:11:30|NETWORK_ATTACK|network_connection|win-22|user1|10.10.2.22|203.0.113.88|powershell.exe|cmd.exe|-|https://cdn.example.test/api/status|cdn.example.test|outbound_connect|success|-|low_volume_periodic
2026-06-24T16:00:00|KEYWORD_ONLY_URLS|network_connection|win-39|tester|10.10.3.39|198.51.100.39|browser.exe|explorer.exe|-|https://docs.example.test/payload.ps1|docs.example.test|browse|success|-|documentation_access
2026-06-24T16:00:20|KEYWORD_ONLY_URLS|network_connection|win-39|tester|10.10.3.39|198.51.100.39|browser.exe|explorer.exe|-|https://docs.example.test/beacon|docs.example.test|browse|success|-|documentation_access
2026-06-24T16:00:40|KEYWORD_ONLY_URLS|network_connection|win-39|tester|10.10.3.39|198.51.100.39|browser.exe|explorer.exe|-|https://docs.example.test/beacon|docs.example.test|browse|success|-|documentation_access
2026-06-24T16:01:00|KEYWORD_ONLY_URLS|network_connection|win-39|tester|10.10.3.39|198.51.100.39|browser.exe|explorer.exe|-|https://docs.example.test/beacon|docs.example.test|browse|success|-|documentation_access
2026-06-24T16:10:00|BEHAVIOR_WITHOUT_LAB_KEYWORDS|network_connection|win-40|tester|10.10.3.40|198.51.100.40|pwsh.exe|cmd.exe|-|https://files.example.test/packages/bootstrap.bin|files.example.test|download|success|-|untrusted_remote_content
2026-06-24T16:10:20|BEHAVIOR_WITHOUT_LAB_KEYWORDS|network_connection|win-40|tester|10.10.3.40|198.51.100.40|pwsh.exe|cmd.exe|-|https://files.example.test/api/check|files.example.test|outbound_connect|success|-|low_volume_periodic
2026-06-24T16:10:40|BEHAVIOR_WITHOUT_LAB_KEYWORDS|network_connection|win-40|tester|10.10.3.40|198.51.100.40|pwsh.exe|cmd.exe|-|https://files.example.test/api/check|files.example.test|outbound_connect|success|-|low_volume_periodic
2026-06-24T16:11:00|BEHAVIOR_WITHOUT_LAB_KEYWORDS|network_connection|win-40|tester|10.10.3.40|198.51.100.40|pwsh.exe|cmd.exe|-|https://files.example.test/api/check|files.example.test|outbound_connect|success|-|low_volume_periodic
2026-06-24T16:20:00|NEAR_MISS_BEACON_COUNT|network_connection|win-41|tester|10.10.3.41|198.51.100.41|powershell.exe|cmd.exe|-|https://edge.example.test/content/file.bin|edge.example.test|download|success|-|untrusted_remote_content
2026-06-24T16:20:20|NEAR_MISS_BEACON_COUNT|network_connection|win-41|tester|10.10.3.41|198.51.100.41|powershell.exe|cmd.exe|-|https://edge.example.test/api/check|edge.example.test|outbound_connect|success|-|low_volume_periodic
2026-06-24T16:20:40|NEAR_MISS_BEACON_COUNT|network_connection|win-41|tester|10.10.3.41|198.51.100.41|powershell.exe|cmd.exe|-|https://edge.example.test/api/check|edge.example.test|outbound_connect|success|-|low_volume_periodic
2026-06-24T17:00:00|OUT_OF_WINDOW|network_connection|win-42|tester|10.10.3.42|198.51.100.42|powershell.exe|cmd.exe|-|https://remote.example.test/content/file.bin|remote.example.test|download|success|-|untrusted_remote_content
2026-06-24T17:03:00|OUT_OF_WINDOW|network_connection|win-42|tester|10.10.3.42|198.51.100.42|powershell.exe|cmd.exe|-|https://remote.example.test/api/check|remote.example.test|outbound_connect|success|-|low_volume_periodic
2026-06-24T17:03:10|OUT_OF_WINDOW|network_connection|win-42|tester|10.10.3.42|198.51.100.42|powershell.exe|cmd.exe|-|https://remote.example.test/api/check|remote.example.test|outbound_connect|success|-|low_volume_periodic
2026-06-24T17:03:20|OUT_OF_WINDOW|network_connection|win-42|tester|10.10.3.42|198.51.100.42|powershell.exe|cmd.exe|-|https://remote.example.test/api/check|remote.example.test|outbound_connect|success|-|low_volume_periodic
